order_id,created_date,order_city,order_offer_badge,batch,biker,vendor,district,order_fare,total_distance
568350652,2025-08-04,U,normal,0,4259010,1346685,1432,1057143,4374
568351152,2025-08-04,U,normal,0,11036068,1190919,1428,971429,4914.2
568351231,2025-08-04,K,normal,0,8549168,668976,1512,657143,1747.7
568351451,2025-08-04,K,normal,0,10823090,1290615,1484,1485714,4641.7
568352451,2025-08-04,K,normal,0,4253282,1264782,1468,714286,1609.4
568352481,2025-08-04,U,normal,0,5829230,1089222,1432,442857,881.3
568352511,2025-08-04,B,normal,0,5151412,956487,3720,842857,1797.5
568352731,2025-08-04,K,normal,0,10984558,1285488,1476,1314286,5588.9
568353161,2025-08-04,U,normal,0,10908494,1343505,1396,628571,1852.9
568353202,2025-08-04,B,normal,1,9081426,891456,3732,685714,1295.4
568353921,2025-08-04,U,normal,0,8781698,1061523,1412,685714,3229.4
568354772,2025-08-04,K,normal,0,10977614,1264782,1468,2157143,12393.8
568354922,2025-08-04,K,normal,0,9317124,971034,1508,885714,2266.1
568354942,2025-08-04,U,normal,0,10940226,908718,1432,1057143,5034.6
568355042,2025-08-04,K,normal,0,3764536,1261539,1468,885714,1900.1
568355491,2025-08-04,K,normal,0,10399284,218754,1508,642857,415.7
568356091,2025-08-04,K,normal,0,5825492,1122594,1480,614286,2243.2
568356371,2025-08-04,B,normal,0,4544960,1179330,3720,457143,1050.2
568356542,2025-08-04,U,normal,0,10985368,1089222,1432,771429,3036
568357912,2025-08-04,U,normal,0,9467916,1190919,1428,885714,3980
568357981,2025-08-04,K,normal,0,9833648,980109,1528,542857,1003.6
568358242,2025-08-04,K,normal,0,9833648,172362,1528,642857,2792.1
568358262,2025-08-04,K,normal,0,10823262,1327080,1480,714286,1906.3
568358312,2025-08-04,U,normal,0,3326594,1156872,1424,542857,330.8
568358381,2025-08-04,U,delayed,0,5956216,1333383,1420,1014286,2989.4
568358391,2025-08-04,K,normal,0,5582418,1226184,1484,2071429,7620
568358422,2025-08-04,K,delayed,0,8867700,980109,1528,928571,2691
568358511,2025-08-04,K,normal,0,6483930,235491,1512,1171429,4942.4
568359002,2025-08-04,U,normal,0,10940226,1327737,1428,442857,489.4
568359442,2025-08-04,B,normal,0,3528312,1175460,3720,871429,3412
568359572,2025-08-04,K,normal,0,10726682,1264782,1468,900000,3077.4
568359691,2025-08-04,U,normal,0,8641650,1323477,1420,657143,2448.1
568359941,2025-08-04,K,delayed,0,6230202,976083,1476,2457143,9001.7
568360102,2025-08-04,B,normal,0,5320342,197754,3720,457143,344.7
568360262,2025-08-04,K,delayed,0,9210320,980109,1528,757143,1509.5
568360671,2025-08-04,U,normal,0,9439278,1333383,1420,1185714,5232.4
568360861,2025-08-04,B,normal,0,10196560,1174614,3740,671429,1967.4
568361382,2025-08-04,B,normal,0,2640312,1067904,3740,528571,1001.2
568361532,2025-08-04,K,normal,0,9266354,1255086,1480,885714,4437.5
568361851,2025-08-04,K,delayed,0,10253426,1327080,1480,814286,1304.5
568362072,2025-08-04,K,delayed,0,10986372,1266396,1484,1214286,3342.5
568362512,2025-08-04,K,normal,0,6057666,809193,1468,1114286,3799.3
568362652,2025-08-04,K,delayed,0,9783072,1309281,1512,1100000,3369
568363231,2025-08-04,K,normal,0,9673106,1277373,1508,1585714,6829.1
568363412,2025-08-04,K,delayed,0,10987666,978030,1512,1228571,3782.5
568364572,2025-08-04,K,normal,0,10823262,275727,1480,785714,2424.7
568364681,2025-08-04,K,delayed,0,9317124,1226184,1484,1014286,2567
568364702,2025-08-04,K,delayed,0,10823090,1226184,1484,900000,2092.2
568365041,2025-08-04,K,normal,1,11028480,144093,1528,500000,1702.5
568365071,2025-08-04,K,normal,0,10520496,1289214,1508,1414286,5845.2
568365632,2025-08-04,B,normal,0,6247264,177918,3720,485714,1337
568366451,2025-08-04,K,delayed,0,9702594,644019,1528,900000,2498.3
568366522,2025-08-04,K,normal,0,9921568,861591,1508,1957143,11139.2
568366532,2025-08-04,B,normal,0,4544960,1179330,3720,457143,767.5
568366551,2025-08-04,B,normal,0,3074316,675702,3720,500000,1388.6
568366592,2025-08-04,K,normal,0,9637140,1187862,1508,971429,3826.7
568366981,2025-08-04,K,normal,0,9210320,168321,1468,1957143,11011.2
568367022,2025-08-04,U,normal,0,10197298,1235880,1396,585714,1603.8
568367232,2025-08-04,K,normal,1,3764536,862479,1512,728571,2668.15
568367791,2025-08-04,K,normal,0,3673304,1327326,1480,1228571,4050.7
568367822,2025-08-04,K,normal,0,8684180,201540,1512,1314286,5240.8
568367961,2025-08-04,U,normal,1,9223138,1194039,1428,607143,1676.5
568368171,2025-08-04,K,normal,0,9317494,235491,1512,1000000,5388.9
568368711,2025-08-04,K,normal,0,9966064,144093,1528,714286,3395.9
568369192,2025-08-04,K,delayed,0,11054560,1233603,1512,700000,992.1
568369332,2025-08-04,K,normal,0,11080526,130713,1480,500000,949.3
568369371,2025-08-04,U,normal,0,9310078,1126080,1408,514286,1348.8
568369722,2025-08-04,K,normal,0,8575844,1211685,1480,1171429,4815.2
576479182,2025-09-03,K,normal,1,9400474,1068105,1528,457143,853.4
576479321,2025-09-03,K,normal,0,9515288,1189392,4176,1585714,4479.5
576479662,2025-09-03,U,normal,0,11102660,1141542,1432,757143,2512.2
576480161,2025-09-03,K,delayed,0,11237668,791745,1512,828571,2123.4
576480591,2025-09-03,K,normal,0,9730524,954927,1480,571429,53.5
576480722,2025-09-03,K,normal,0,10653538,1276815,4732,1614286,4652
576481441,2025-09-03,K,delayed,0,10368200,1215315,1528,1485714,4672.4
576481492,2025-09-03,U,normal,0,10265288,1294479,1432,714286,2606.1
576481802,2025-09-03,K,normal,0,2631324,1376781,1508,1757143,4821.1
576481881,2025-09-03,U,normal,0,10929208,863298,1396,528571,1427.5
576481901,2025-09-03,K,normal,0,5327376,173766,1484,2257143,16082.3
576482072,2025-09-03,K,normal,0,9318882,1221060,1476,414286,959.5
576482281,2025-09-03,K,normal,0,9449166,1211685,1480,2342857,13491.5
576482341,2025-09-03,U,normal,0,9612426,1218552,1420,585714,1993.2
576482362,2025-09-03,K,normal,0,9511472,1295031,4176,1557143,4346.9
576482452,2025-09-03,K,delayed,0,2821800,1349253,1480,771429,403
576482892,2025-09-03,K,normal,0,8936352,744138,1528,857143,3903.7
576483422,2025-09-03,K,normal,0,9532040,1285488,1476,428571,1223.1
576483532,2025-09-03,K,normal,0,9504738,247422,1480,1285714,5707.7
576483571,2025-09-03,K,normal,0,10367002,1341855,1512,485714,1441.3
576484401,2025-09-03,K,normal,0,6086350,720627,1468,642857,1743
576484462,2025-09-03,K,normal,0,9765682,1211685,1480,2042857,13583.7
576484501,2025-09-03,K,normal,0,4614762,64461,1480,2385714,10161.6
576484542,2025-09-03,U,normal,0,9996288,985743,1416,971429,3570.5
576484782,2025-09-03,K,normal,0,10227176,205533,1480,1400000,6480.6
576484851,2025-09-03,B,normal,0,3892574,1070013,3720,585714,2256.7
576485222,2025-09-03,K,delayed,0,11289884,998556,1484,842857,1826.9
576485371,2025-09-03,B,normal,0,9638052,1303008,3740,742857,2281.9
576485512,2025-09-03,B,normal,0,3938532,1141119,3740,585714,1596.8
576485611,2025-09-03,U,normal,0,8771200,827277,1428,1271429,3641.6
576485622,2025-09-03,K,normal,0,9717382,959634,1468,742857,1415.8
576485872,2025-09-03,K,normal,0,9998840,1201566,1496,900000,2224
576486622,2025-09-03,K,normal,0,6161796,1219443,1512,1442857,9066.7
576486911,2025-09-03,B,normal,0,10518388,1200642,3720,457143,751.3
576486912,2025-09-03,K,normal,1,10037782,1127775,1480,600000,2055.7
576486991,2025-09-03,K,normal,0,9786076,1023744,1480,1200000,5575.9
576487062,2025-09-03,U,normal,0,8432922,908718,1432,1342857,6881.5
576487242,2025-09-03,U,normal,0,11222860,1209420,1396,1328571,4890.5
576487602,2025-09-03,K,delayed,0,5252448,1227444,1468,2357143,5782.2
576487641,2025-09-03,K,normal,0,9653502,1187862,1508,1185714,4824.2
576487792,2025-09-03,K,normal,1,10867412,247422,1480,550000,1732.95
576487881,2025-09-03,K,normal,0,9540600,1194960,4176,1871429,6293.4
576488211,2025-09-03,K,delayed,0,9229152,976731,1512,2142857,7425.8
576488312,2025-09-03,K,normal,0,5948688,1366914,1508,1528571,6497.5
576489241,2025-09-03,K,normal,0,9922642,124425,1512,757143,3452.6
576489352,2025-09-03,K,normal,0,9590330,889416,1476,914286,4229.6
576489601,2025-09-03,K,normal,0,10520496,183984,1480,957143,4098.6
576489751,2025-09-03,U,normal,0,11215330,996486,1432,900000,3557.8
576489941,2025-09-03,U,normal,0,3613062,1117122,1396,1385714,1895.7
576490001,2025-09-03,K,normal,0,2821800,1251294,1508,1328571,3848.7
576490212,2025-09-03,B,normal,0,9210334,1331997,3728,557143,1231.2
576491401,2025-09-03,K,normal,0,4655244,720627,1468,1128571,3868.2
576491541,2025-09-03,U,normal,0,11159148,1016058,1400,1571429,9536.6
576491791,2025-09-03,K,normal,0,9532040,1201566,1496,1171429,5805.1
576491862,2025-09-03,U,normal,0,11009084,1325955,1404,785714,2482.8
576491972,2025-09-03,K,delayed,0,3747092,668976,1512,1057143,3192.6
576492161,2025-09-03,U,normal,0,10929208,875919,1432,657143,534.5
576493001,2025-09-03,K,delayed,0,9998840,1201566,1496,700000,547.3
576493002,2025-09-03,U,normal,0,8432922,970233,1432,985714,3594.1
576493291,2025-09-03,B,normal,0,8794742,1070013,3720,542857,508.5
576493372,2025-09-03,K,normal,0,9780366,1100472,4532,1185714,1603.3
576493752,2025-09-03,U,normal,0,11254170,108303,1428,857143,1914
576493852,2025-09-03,K,normal,0,9730524,1242324,1480,728571,1565.8
576494292,2025-09-03,B,normal,0,10335208,1120140,3732,657143,1882.1
576494552,2025-09-03,K,normal,0,9264292,1242324,1480,885714,1497.4
576494562,2025-09-03,U,delayed,0,3546594,1363857,1416,1157143,2414.5
576494621,2025-09-03,U,normal,0,9039164,108303,1428,1042857,3707.8
576494831,2025-09-03,U,normal,0,9714044,1151940,1416,1200000,3589
576494981,2025-09-03,U,normal,0,10538038,1351938,1432,1142857,4427.4
576495152,2025-09-03,K,normal,0,9517508,961956,4732,1200000,1690.7
576495271,2025-09-03,U,normal,0,9194654,993390,1432,1085714,3999
576495491,2025-09-03,U,normal,0,9438902,200817,1420,1171429,3385.7
576495672,2025-09-03,U,normal,0,8514820,1355010,1432,871429,1973.2
589621462,2025-10-18,K,normal,0,9673106,1257285,1512,1585714,6183.9
589621471,2025-10-18,K,normal,0,3673304,219657,1484,1114286,4827.3
589621502,2025-10-18,K,normal,0,11224674,1270257,4532,1571429,3245.6
589621621,2025-10-18,U,normal,0,8633402,1250799,1432,1971429,5259.2
589621832,2025-10-18,K,delayed,0,11393568,1261848,1480,1342857,3199.6
589622372,2025-10-18,K,delayed,0,9435772,1277610,1480,2685714,12750.1
589622481,2025-10-18,K,delayed,0,11404604,1378677,1528,814286,961
589622971,2025-10-18,K,normal,0,11144914,1251294,1508,1471429,6172.7
589623132,2025-10-18,U,delayed,0,11459780,1362252,1432,2857143,5784.7
589623171,2025-10-18,K,delayed,1,11472286,791745,1512,671429,1696.85
589623302,2025-10-18,U,normal,0,9771328,309480,1404,1014286,2409.8
589623411,2025-10-18,K,normal,0,10495880,1148154,1512,428571,1299.5
589623592,2025-10-18,K,normal,0,11049416,1044363,4532,1242857,2291.9
589623781,2025-10-18,K,delayed,0,10212984,1242819,1508,1485714,2813.6
589623901,2025-10-18,U,delayed,0,5815508,1007379,1396,3042857,4513.1
589623931,2025-10-18,K,normal,1,11486054,806271,1528,885714,2281.35
589623942,2025-10-18,K,delayed,0,10276266,1023744,1480,1542857,4600.8
589624791,2025-10-18,K,normal,0,4780932,1194072,4532,1157143,851.9
589624842,2025-10-18,B,normal,0,8450784,1200642,3720,457143,502.1
589624911,2025-10-18,B,normal,0,5136620,1141119,3740,571429,1467.6
589624971,2025-10-18,U,normal,1,11347310,149952,1420,900000,1298.55
589625331,2025-10-18,U,normal,1,11120828,1087404,1420,764286,1130.6
589625642,2025-10-18,K,normal,0,10347900,1250613,4176,1828571,4116.2
589625751,2025-10-18,U,normal,0,10300036,1036803,1420,685714,1140.4
589625812,2025-10-18,U,normal,0,3277636,1291764,1432,685714,1498
589625941,2025-10-18,K,normal,0,4655244,168321,1468,585714,227.5
589626052,2025-10-18,K,delayed,0,8553896,1068156,1512,1185714,2795
589626102,2025-10-18,K,delayed,0,10215824,1345836,1512,1028571,3091.9
589626272,2025-10-18,K,delayed,0,2821800,1023744,1480,1442857,3312.7
