order_id,start_time_slot,accept_time,arrived_pickup_at
568350652,2025-08-04 10:43,2025-08-04 10:43,2025-08-04 10:50
568351152,2025-08-04 10:21,2025-08-04 10:21,2025-08-04 10:27
568351231,2025-08-04 10:45,2025-08-04 10:46,2025-08-04 10:54
568351451,2025-08-04 11:03,2025-08-04 11:03,2025-08-04 11:07
568352451,2025-08-04 11:09,2025-08-04 11:14,2025-08-04 11:19
568352481,2025-08-04 10:34,2025-08-04 10:34,2025-08-04 10:34
568352511,2025-08-04 10:24,2025-08-04 10:53,2025-08-04 10:58
568352731,2025-08-04 10:40,2025-08-04 10:40,2025-08-04 10:48
568353161,2025-08-04 11:16,2025-08-04 11:16,2025-08-04 11:17
568353202,2025-08-04 11:01,2025-08-04 11:01,2025-08-04 11:01
568353921,2025-08-04 10:52,2025-08-04 10:52,2025-08-04 10:59
568354772,2025-08-04 11:18,2025-08-04 11:19,2025-08-04 11:28
568354922,2025-08-04 10:42,2025-08-04 10:42,2025-08-04 10:44
568354942,2025-08-04 11:37,2025-08-04 11:37,2025-08-04 11:42
568355042,2025-08-04 11:07,2025-08-04 11:17,2025-08-04 11:27
568355491,2025-08-04 10:50,2025-08-04 10:50,2025-08-04 10:50
568356091,2025-08-04 11:05,2025-08-04 11:07,2025-08-04 11:11
568356371,2025-08-04 11:19,2025-08-04 11:19,2025-08-04 11:19
568356542,2025-08-04 10:56,2025-08-04 10:56,2025-08-04 10:54
568357912,2025-08-04 11:03,2025-08-04 11:05,2025-08-04 11:12
568357981,2025-08-04 11:04,2025-08-04 11:04,2025-08-04 11:07
568358242,2025-08-04 11:24,2025-08-04 11:28,2025-08-04 11:33
568358262,2025-08-04 11:05,2025-08-04 11:05,2025-08-04 11:12
568358312,2025-08-04 11:01,2025-08-04 11:11,2025-08-04 11:16
568358381,2025-08-04 10:56,2025-08-04 11:09,2025-08-04 11:13
568358391,2025-08-04 10:56,2025-08-04 11:03,2025-08-04 11:07
568358422,2025-08-04 11:16,2025-08-04 11:33,2025-08-04 11:41
568358511,2025-08-04 11:02,2025-08-04 11:02,2025-08-04 11:03
568359002,2025-08-04 11:00,2025-08-04 11:04,2025-08-04 11:12
568359442,2025-08-04 11:02,2025-08-04 11:06,2025-08-04 11:21
568359572,2025-08-04 11:28,2025-08-04 11:28,2025-08-04 11:35
568359691,2025-08-04 11:44,2025-08-04 11:44,2025-08-04 11:42
568359941,2025-08-04 11:25,2025-08-04 11:35,2025-08-04 11:36
568360102,2025-08-04 11:30,2025-08-04 11:30,2025-08-04 11:27
568360262,2025-08-04 11:16,2025-08-04 11:27,2025-08-04 11:28
568360671,2025-08-04 11:57,2025-08-04 11:57,2025-08-04 12:01
568360861,2025-08-04 11:24,2025-08-04 11:24,2025-08-04 11:25
568361382,2025-08-04 11:30,2025-08-04 11:30,2025-08-04 11:28
568361532,2025-08-04 11:17,2025-08-04 11:17,2025-08-04 11:20
568361851,2025-08-04 11:18,2025-08-04 11:30,2025-08-04 11:36
568362072,2025-08-04 11:51,2025-08-04 12:15,2025-08-04 12:26
